England_S Raindays>=1.0mm
Areal series, starting from 1961
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 12/04/2019.

     JAN  Year     FEB  Year     MAR  Year     APR  Year     MAY  Year     JUN  Year     JUL  Year     AUG  Year    SEP   Year     OCT  Year     NOV  Year     DEC  Year     WIN  Year     SPR  Year     SUM  Year     AUT  Year     ANN  Year
    23.6  2014    18.9  1977    19.6  1981    19.9  1998    18.9  1967    17.2  1991    16.8  2009    15.8  2008    17.9  1974    20.4  1976    21.3  2009    19.8  1993    57.4  2014    47.9  1983    45.0  2012    49.0  1974   149.7  2012
    20.3  1988    18.4  2014    18.6  1979    19.0  2012    18.0  1983    16.8  1998    16.0  1988    15.4  2004    15.7  2017    18.2  1967    20.1  2002    19.4  1978    49.4  1995    46.3  1979    40.5  1985    48.8  2000   149.4  2000
    18.8  1984    17.3  1995    16.9  2018    18.6  2000    17.3  1969    16.2  2012    15.8  2012    15.1  1985    15.2  1968    17.7  2013    19.2  1963    18.8  1999    48.8  1994    43.7  1981    38.6  2007    47.5  1976   147.4  2014
    17.9  1970    16.1  2007    16.2  2001    16.9  1983    17.0  1981    15.5  1997    15.8  2007    15.1  1963    15.1  1995    17.6  2000    18.6  2000    18.7  1965    47.1  1970    41.7  1986    35.3  1963    42.8  1967   146.1  1966
    17.5  1995    15.7  2002    15.7  1988    16.1  2001    14.8  2006    15.5  1987    14.1  1965    14.9  1992    14.6  1999    17.0  1998    18.5  2015    18.6  2012    46.5  1977    40.3  1963    35.0  1997    42.4  1984   142.1  2002
    17.5  1975    15.6  2010    15.2  2008    16.1  1966    14.8  1979    15.1  1985    12.5  1993    13.3  2014    14.4  1967    16.9  1981    17.8  1970    17.6  2015    45.2  1990    38.2  2001    34.6  1980    42.0  1998   141.6  1965
    17.4  2004    15.5  2000    15.2  1980    14.9  1970    14.5  2007    15.0  1982    11.5  1966    13.3  2010    14.0  1976    16.7  2004    17.0  1974    17.4  1966    45.1  2016    37.8  2000    34.5  1965    40.8  1982   141.5  1998
    17.1  2016    15.5  1990    14.8  1975    14.9  1963    14.1  2014    14.8  2007    11.3  1980    13.0  2012    13.6  1981    16.6  1987    16.9  1992    16.6  2009    44.8  1966    37.5  1972    34.2  2008    40.7  1992   141.2  1974
    17.1  1999    15.3  1970    14.7  1963    14.8  1961    13.9  1972    14.8  1980    11.1  1970    12.6  1971    13.5  1994    16.4  2012    16.5  2014    16.5  2002    44.6  2007    37.4  1994    33.4  1966    40.2  1981   139.0  1999
    17.1  1986    15.3  1966    14.5  1978    14.4  1989    13.8  2002    14.2  2016    11.0  2015    12.5  1999    13.5  1984    16.2  1966    16.4  1997    16.3  1986    44.3  2010    36.9  2008    33.3  1987    38.9  2013   138.3  1994
    17.0  1994    14.1  1997    14.5  1977    14.0  1986    13.5  1986    12.4  1972    11.0  2008    12.5  1974    13.5  1965    15.8  2001    16.3  1984    16.2  2000    43.7  1979    36.8  2018    32.7  1968    38.2  2001   138.1  1977
    16.8  1990    13.8  1974    14.2  1992    13.5  1975    13.3  1973    12.4  1968    10.9  2017    12.2  2006    13.1  1998    15.3  2014    15.3  1996    16.1  1998    43.2  1999    36.7  1965    32.1  2009    38.1  1963   137.8  1979
    16.5  1971    13.6  1972    14.2  1982    13.3  2016    13.2  2000    11.8  2011    10.7  2002    12.1  1977    13.0  1993    15.2  1982    15.1  1982    15.7  2011    41.7  1984    36.0  1969    31.9  1988    38.0  2012   136.9  1970
