England_S Raindays>=1.0mm
Areal series, starting from 1961
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 12/04/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1961   15.5   12.3    2.2   14.8    5.7    5.2    8.1   11.2   11.3   15.1   10.2   12.8     ---   22.6   24.5   36.6   124.3
1962   15.4    5.7    8.0   10.9   12.3    3.1    8.9   11.3   12.3    5.6   11.8   10.7    34.0   31.2   23.3   29.7   116.1
1963    5.5    6.3   14.7   14.9   10.7   11.7    8.6   15.1    9.0    9.9   19.2    5.7    22.5   40.3   35.3   38.1   131.3
1964    5.7    7.3   10.6   11.9   10.0   10.7    7.0    7.1    5.3    9.2    9.1   12.8    18.8   32.5   24.8   23.6   106.8
1965   14.9    4.0   12.2   12.4   12.0    9.8   14.1   10.7   13.5    4.3   15.0   18.7    31.7   36.7   34.5   32.7   141.6
1966   10.9   15.3    7.1   16.1   11.0   11.3   11.5   10.5    6.4   16.2   12.4   17.4    44.8   34.2   33.4   35.0   146.1
1967   11.5   10.2    8.2    8.8   18.9    4.2    7.3   10.6   14.4   18.2   10.2   13.3    39.0   35.9   22.1   42.8   135.7
1968   11.8    7.4    9.0   11.0   11.8   12.4    8.9   11.4   15.2   11.3   10.3    9.7    32.5   31.8   32.7   36.8   130.2
1969   14.9   11.4   10.0    8.8   17.3    7.4    5.2   10.4    5.2    2.9   14.0   13.9    36.0   36.0   23.0   22.1   121.4
1970   17.9   15.3   12.7   14.9    5.3    6.5   11.1    8.7    9.1    7.8   17.8    9.9    47.1   32.8   26.3   34.7   136.9
1971   16.5    6.1   10.0    5.3    8.4   10.8    5.1   12.6    4.3    7.6   11.3    6.7    32.5   23.8   28.6   23.2   104.9
1972   15.6   13.6   12.2   11.4   13.9   12.4    7.5    5.0    4.2    4.9   11.9   13.3    35.9   37.5   25.0   20.9   125.9
1973    7.5    7.7    5.1   10.0   13.3    4.8    9.1    5.7    9.3    8.2    7.8   11.5    28.5   28.5   19.6   25.3   100.1
1974   16.4   13.8    8.6    3.1    7.9    9.7    9.5   12.5   17.9   14.1   17.0   10.7    41.7   19.7   31.7   49.0   141.2
1975   17.5    6.3   14.8   13.5    7.0    3.3    8.3    6.9   11.8    5.6   11.4    6.0    34.5   35.3   18.6   28.9   112.6
1976    7.5    7.5    6.4    3.3    9.4    2.8    4.4    2.8   14.0   20.4   13.1   12.6    21.1   19.0   10.0   47.5   104.2
1977   15.1   18.9   14.5   10.3    9.7   10.7    4.4   12.1    5.8   10.1   13.6   12.9    46.5   34.5   27.2   29.5   138.1
1978   14.7   13.2   14.5   10.7    6.8    9.6   10.7    9.9    6.7    2.8    7.1   19.4    40.8   32.0   30.2   16.6   126.1
1979   13.9   10.4   18.6   12.8   14.8    7.4    4.3   10.9    5.5   10.7   12.9   15.5    43.7   46.3   22.6   29.1   137.8
1980    9.0   12.9   15.2    4.2    4.7   14.8   11.3    8.5    8.4   14.0   10.9   11.8    37.4   24.2   34.6   33.3   125.8
1981   10.9    7.2   19.6    7.1   17.0    6.2    7.9    3.8   13.6   16.9    9.8   13.4    30.0   43.7   18.0   40.2   133.5
1982   12.3    8.8   14.2    4.3    8.3   15.0    4.9   11.5   10.4   15.2   15.1   11.2    34.5   26.9   31.3   40.8   131.4
1983   12.5    8.3   13.0   16.9   18.0    5.5    4.7    3.7   12.8   10.7    5.8   13.1    32.0   47.9   13.9   29.2   124.9
1984   18.8    9.8    9.3    2.6    9.2    6.1    5.4    7.0   13.5   12.6   16.3   14.7    41.7   21.1   18.4   42.4   125.4
1985   11.7    4.4   13.0   10.7    9.1   15.1   10.3   15.1    4.6    4.9   10.9   14.9    30.8   32.9   40.5   20.5   124.7
1986   17.1    3.6   14.1   14.0   13.5    5.7    9.0   11.6    3.2   11.9   15.0   16.3    35.6   41.7   26.3   30.0   135.0
1987    5.0    9.0   12.3    9.4   10.1   15.5    9.6    8.1    9.9   16.6   10.0    7.7    30.3   31.8   33.3   36.5   123.3
1988   20.3    9.6   15.7    7.4   10.7    6.5   16.0    9.4    8.0   11.0    5.9    6.1    37.6   33.8   31.9   24.9   126.6
1989    8.5   12.0   13.2   14.4    3.1    8.0    4.8    6.8    5.9   12.0    7.6   12.8    26.6   30.7   19.5   25.5   109.2
1990   16.8   15.5    4.1    8.9    2.9   11.6    4.8    5.8    7.5   11.7   10.7   12.1    45.2   15.9   22.2   29.8   112.4
1991   12.1    8.6   11.0    9.9    3.4   17.2    9.0    4.0    8.2    9.1   11.7    5.7    32.8   24.3   30.2   29.0   109.9
1992    5.5    7.6   14.2   11.3    6.6    5.7   10.6   14.9   12.9   11.0   16.9    9.4    18.8   32.2   31.3   40.7   126.7
1993   16.2    2.8    4.0   12.6   10.2    9.2   12.5    6.3   13.0   11.5    8.0   19.8    28.3   26.9   28.0   32.4   126.0
1994   17.0   12.0   13.7   11.9   11.7    5.7    6.4    9.6   13.5   11.6   10.4   14.6    48.8   37.4   21.8   35.5   138.3
1995   17.5   17.3   11.9    5.0    6.9    4.7    5.7    2.3   15.1    5.7   10.9   11.9    49.4   23.7   12.7   31.8   114.8
1996    9.4   12.1    8.3    6.3    8.6    4.5    7.5    9.6    5.4   13.9   15.3    6.6    33.4   23.2   21.6   34.5   107.5
1997    4.5   14.1    5.1    3.6   11.5   15.5    8.1   11.5    4.8    7.7   16.4   13.9    25.2   20.2   35.0   28.8   116.6
1998   12.8    3.6   10.9   19.9    4.9   16.8    8.7    5.9   13.1   17.0   11.8   16.1    30.3   35.7   31.4   42.0   141.5
1999   17.1   10.0   11.2   12.1    8.3   11.7    3.4   12.5   14.6    9.6    9.7   18.8    43.2   31.6   27.6   33.9   139.0
2000    6.6   15.5    6.0   18.6   13.2    6.3    9.0    9.2   12.6   17.6   18.6   16.2    40.9   37.8   24.5   48.8   149.4
2001   11.4   12.9   16.2   16.1    5.9    5.5    9.3   11.6   12.2   15.8   10.2    7.3    40.5   38.2   26.4   38.2   134.4
2002   13.9   15.7    8.8    8.0   13.8    9.3   10.7    7.4    3.7   14.2   20.1   16.5    36.9   30.6   27.5   38.0   142.1
2003   12.4    6.9    4.9    7.2   12.0    9.2   10.3    2.6    4.1    8.8   13.6   13.1    35.7   24.1   22.2   26.6   105.1
2004   17.4    8.3   11.1   13.1    7.7    7.0    9.4   15.4    9.0   16.7    9.2    7.6    38.7   31.9   31.8   34.8   131.8
2005   10.2    9.2    8.8   11.7    8.4    7.9    8.4    8.3    9.5   13.1    9.7    7.9    27.0   28.8   24.6   32.3   113.0
2006    6.3    9.1   12.5    8.3   14.8    4.3    6.9   12.2    9.5   13.9   13.4   13.6    23.3   35.6   23.4   36.8   124.8
2007   15.0   16.1    8.9    1.5   14.5   14.8   15.8    8.0    6.5    5.4    9.4   10.7    44.6   24.8   38.6   21.4   126.6
2008   15.6    5.8   15.2   12.9    8.9    7.4   11.0   15.8   10.8   11.2   13.6    7.2    32.1   36.9   34.2   35.7   135.4
2009   12.5    8.4    7.4    8.6    8.4    6.8   16.8    8.5    3.1   10.6   21.3   16.6    28.1   24.4   32.1   35.0   129.1
2010   12.1   15.6   10.2    5.5    6.5    5.8    8.0   13.3   10.1   10.8   12.8    7.6    44.3   22.2   27.1   33.8   118.3
2011   11.2   12.1    3.2    2.1    6.5   11.8    9.3   10.4    9.3    9.1    8.3   15.7    30.9   11.9   31.5   26.7   109.1
2012   10.7    4.6    4.8   19.0    8.9   16.2   15.8   13.0    8.2   16.4   13.4   18.6    31.1   32.8   45.0   38.0   149.7
2013   13.3    7.0    9.9    6.9   11.3    7.7    6.1    7.9    9.4   17.7   11.9   15.4    38.9   28.1   21.7   38.9   124.4
2014   23.6   18.4    8.6    9.6   14.1    7.9    7.3   13.3    3.1   15.3   16.5    9.7    57.4   32.3   28.5   34.9   147.4
2015   15.2    9.3    8.3    6.1   11.8    5.8   11.0   12.0    8.4    8.9   18.5   17.6    34.2   26.2   28.8   35.8   133.0
2016   17.1   10.4   10.6   13.3    9.0   14.2    6.0    7.8    9.8    6.2   11.2    6.2    45.1   33.0   28.0   27.2   121.9
2017   10.8   11.4   11.5    4.0    9.5    7.4   10.9   10.6   15.7    7.0   10.5   15.6    28.4   24.9   28.9   33.2   124.8
2018   16.3    8.9   16.9   12.5    7.5    1.6    4.4    9.7    7.0    8.1   11.7   15.3    40.9   36.8   15.7   26.9   120.0
2019    7.9    8.6   12.8                                                                   31.8
