Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for UK
Areal series, starting in 1891
Last updated 01-May-2020 15:15
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1891   13.6    3.5   13.3    8.7   15.3    8.9   15.2   21.5   15.5   18.6   15.4   18.6     ---    37.4    45.5    49.6   168.2
1892   15.3   13.6    7.4    8.7   13.7   13.6    9.8   15.7   14.9   19.2   13.8   11.9    47.5    29.8    39.0    48.0   157.6
1893   14.5   18.2    7.1    5.0    9.7    8.2   15.2   14.1   14.0   16.9   13.6   17.1    44.5    21.8    37.6    44.5   153.7
1894   19.8   16.7   10.4   12.6   15.8   13.0   16.4   16.7    6.7   15.3   14.8   15.7    53.6    38.8    46.1    36.8   173.8
1895   17.4    4.3   16.6   11.5    5.4    9.2   16.1   18.0    7.0   16.8   17.5   16.4    37.4    33.5    43.3    41.3   156.2
1896   10.2    7.4   19.6   11.4    3.8   14.1   12.3   14.1   20.8   18.5    8.8   20.2    34.1    34.8    40.6    48.0   161.2
1897   12.5   13.2   20.3   13.8   11.1   12.8    8.7   18.8   14.3    9.0   12.2   16.7    45.9    45.2    40.3    35.4   163.3
1898   11.1   15.2   11.6   13.4   16.3   12.1    6.6   14.8    8.3   15.4   14.1   17.5    43.0    41.2    33.5    37.8   156.2
1899   18.7   11.2   10.9   17.9   12.6    8.2   10.7    7.7   18.0   11.0   13.0   16.0    47.4    41.4    26.5    42.0   155.9
1900   21.5   16.8    8.3   13.1   11.2   16.0   13.7   15.2   10.5   19.1   19.1   21.1    54.3    32.6    45.0    48.7   185.6
1901   13.9   10.8   14.2   14.2    8.3   11.5    9.6   13.5   11.7   16.9   10.2   19.8    45.8    36.7    34.6    38.7   154.5
1902   12.6   10.0   14.7   11.1   18.1   13.6   13.5   16.4   11.5   15.0   13.5   14.0    42.4    44.0    43.5    40.0   164.0
1903   16.8   13.8   21.7   12.0   14.4    9.7   16.3   19.8   14.5   26.6   15.5   13.4    44.6    48.1    45.9    56.6   194.6
1904   18.1   18.3   12.8   14.9   14.7    9.0   12.2   16.1   11.0   10.9   12.7   15.2    49.8    42.4    37.3    34.6   166.0
1905   11.4   12.8   20.0   16.4    7.7   10.2   10.9   18.2   12.7   14.6   17.9   10.9    39.4    44.1    39.3    45.3   163.8
1906   20.1   16.2   13.9   10.3   17.8    8.9   11.0   15.0    7.4   21.3   16.6   17.8    47.2    42.0    34.9    45.3   176.3
1907   10.9   11.7   12.4   15.3   16.3   20.4   13.7   17.3    6.2   21.4   14.2   17.1    40.5    44.0    51.4    41.7   176.7
1908   12.2   14.9   18.0   12.9   14.5    8.9   12.3   13.7   16.4    9.7   12.6   17.3    44.2    45.4    34.9    38.6   163.3
